Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Species Comments,Checklist Comments
S43693528,Canada Goose,Branta canadensis,277,1,CA-BC,Metro Vancouver,Abbott Street ,49.2799108,-123.109322,03-16-2018,10:07 AM,eBird - Traveling Count,5,1,.5,,1
S36642394,Canada Goose,Branta canadensis,277,10,CA-BC,Metro Vancouver,Barnet Marine Park,49.2915456,-122.9243517,05-07-2017,06:18 PM,eBird - Traveling Count,69,1,2.1,,2
S36026318,Canada Goose,Branta canadensis,277,5,CA-BC,Metro Vancouver,Blackie Spit (Incl. Dunsmuir Farm & Nicomekl estuary),49.059,-122.879,04-16-2017,12:03 PM,eBird - Traveling Count,82,1,1.2,,3
S36043164,Canada Goose,Branta canadensis,277,2,CA-BC,Metro Vancouver,Blackie Spit (Incl. Dunsmuir Farm & Nicomekl estuary),49.059,-122.879,04-16-2017,03:05 PM,eBird - Traveling Count,116,1,3,,2
S39353131,Canada Goose,Branta canadensis,277,10,CA-BC,Metro Vancouver,"Brunswick Point, Delta",49.06564,-123.15415,09-23-2017,02:30 PM,eBird - Traveling Count,79,1,1.2,,3
S35656163,Canada Goose,Branta canadensis,277,1,CA-BC,Metro Vancouver,Burnaby Lake--Avalon entrance,49.2471758,-122.9172814,04-02-2017,05:56 PM,eBird - Traveling Count,29,1,.3,,2
S37380587,Canada Goose,Branta canadensis,277,38,CA-BC,Metro Vancouver,Burnaby Lake--Avalon entrance,49.2471758,-122.9172814,06-03-2017,11:56 AM,eBird - Traveling Count,98,1,.8,,2,,1 gosling with fishing line wrapped around its leg. Animal rescue was informed and came and got the gosling and cared for it.
S34483224,Canada Goose,Branta canadensis,277,2,CA-BC,Metro Vancouver,Burnaby Lake--Piper Spit,49.2420768,-122.9354453,02-18-2017,03:47 PM,eBird - Stationary Count,59,1,,,2,,,During the crowpacolypse. A couple people feeding the ducks.
S34796223,Canada Goose,Branta canadensis,277,6,CA-BC,Metro Vancouver,Burnaby Lake--Piper Spit,49.2420768,-122.9354453,02-25-2017,01:07 PM,eBird - Traveling Count,73,1,.2,,3
S35135050,Canada Goose,Branta canadensis,277,6,CA-BC,Metro Vancouver,Burnaby Lake--Piper Spit,49.2420768,-122.9354453,03-12-2017,12:23 PM,eBird - Traveling Count,61,1,.4,,2
S35454928,Canada Goose,Branta canadensis,277,13,CA-BC,Metro Vancouver,Burnaby Lake--Piper Spit,49.2420768,-122.9354453,03-26-2017,02:45 PM,eBird - Traveling Count,89,1,.35,,2
S35621797,Canada Goose,Branta canadensis,277,15,CA-BC,Metro Vancouver,Burnaby Lake--Piper Spit,49.2420768,-122.9354453,04-01-2017,03:06 PM,eBird - Traveling Count,55,1,.2,,2
S35653586,Canada Goose,Branta canadensis,277,23,CA-BC,Metro Vancouver,Burnaby Lake--Piper Spit,49.2420768,-122.9354453,04-02-2017,03:56 PM,eBird - Traveling Count,68,1,.2,,2
S35827659,Canada Goose,Branta canadensis,277,26,CA-BC,Metro Vancouver,Burnaby Lake--Piper Spit,49.2420768,-122.9354453,04-09-2017,02:08 PM,eBird - Traveling Count,75,1,.3,,3
S36396465,Canada Goose,Branta canadensis,277,44,CA-BC,Metro Vancouver,Burnaby Lake--Piper Spit,49.24208,-122.93544,04-29-2017,09:43 AM,eBird - Traveling Count,60,1,.25,,4,NY Nest with Young
S36396456,Canada Goose,Branta canadensis,277,3,CA-BC,Metro Vancouver,Burnaby Lake--Piper Spit,49.24208,-122.93544,04-29-2017,10:52 AM,eBird - Traveling Count,97,1,.8,,5
S39214267,Canada Goose,Branta canadensis,277,200,CA-BC,Metro Vancouver,Burnaby Lake--Piper Spit,49.24208,-122.93544,09-16-2017,11:53 AM,eBird - Traveling Count,65,1,.3,,2
S43548920,Canada Goose,Branta canadensis,277,4,CA-BC,Metro Vancouver,Burnaby Lake--Piper Spit,49.2420768,-122.9354453,03-10-2018,03:01 PM,eBird - Traveling Count,85,1,.83,,3
S36239331,Canada Goose,Branta canadensis,277,11,CA-BC,Metro Vancouver,Burnaby Lake--Rowing Pavilion,49.2452651,-122.9588628,04-22-2017,01:03 PM,eBird - Traveling Count,49,1,.85,,2
S36232455,Canada Goose,Branta canadensis,277,24,CA-BC,Metro Vancouver,Burnaby Lake--Sperling Ave access,49.2553426,-122.9647416,04-22-2017,12:32 PM,eBird - Traveling Count,32,1,.7,,2
S36177515,Canada Goose,Branta canadensis,277,25,CA-BC,Metro Vancouver,Burnaby Lake--Sperling Ave access,49.2553426,-122.9647416,04-22-2017,01:52 PM,eBird - Traveling Count,19,1,.9,,2
S36101667,Canada Goose,Branta canadensis,277,100,CA-BC,Metro Vancouver,Burnaby--Keswick Park,49.2469742,-122.9000368,04-19-2017,02:00 PM,eBird - Traveling Count,41,1,.3,,2,,"Flying overhead. Looked dark but was silhouetted against the sky, so may have been another goose."
S35650994,Canada Goose,Branta canadensis,277,2,CA-BC,Metro Vancouver,Colony Farm,49.23429,-122.7996362,04-02-2017,12:41 PM,eBird - Traveling Count,38,1,1.2,,3
S37542172,Canada Goose,Branta canadensis,277,36,CA-BC,Metro Vancouver,Colony Farm,49.23429,-122.7996362,06-11-2017,05:55 PM,eBird - Traveling Count,99,1,3,,2,F Flyover,,Main entrance to North entrance.
S35018745,Canada Goose,Branta canadensis,277,12,CA-BC,Metro Vancouver,Columbia Station,49.2042533,-122.9060024,03-06-2017,06:01 PM,eBird - Traveling Count,12,1,.7,,2
S35858068,Canada Goose,Branta canadensis,277,3,CA-BC,Metro Vancouver,Coquitlam--Lafarge Lake,49.2870671,-122.7885246,04-10-2017,01:47 PM,eBird - Traveling Count,99,1,1.7,,2
S35935918,Canada Goose,Branta canadensis,277,3,CA-BC,Metro Vancouver,Coquitlam--Lafarge Lake,49.2870671,-122.7885246,04-13-2017,05:38 PM,eBird - Traveling Count,78,1,1.8,,2
S35284958,Canada Goose,Branta canadensis,277,6,CA-BC,Metro Vancouver,"Crescent Beach, Surrey",49.048169,-122.8831722,03-19-2017,11:37 AM,eBird - Traveling Count,100,1,.9,,2
